Model,Comparison,Property,Run,Mut_corr,KS stats,KS p-value
ADS,All duplicates,Transcription rate,Bm05,-0.2,-0.27671434392828037,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,-0.1,-0.28314425427872864,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,0.0,-0.29976935615321926,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,0.1,-0.3152343113284433,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,0.2,-0.3191193969030155,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,0.3,-0.3352343113284433,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,0.4,-0.34860594947025264,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,0.5,-0.35568255908720453,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,0.6,-0.367459250203749,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,0.7,-0.3766907090464547,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm1,-0.4,-0.07917766911165443,0.0323384998825253
ADS,All duplicates,Transcription rate,Bm1,-0.3,-0.08717929910350447,0.0185817403004
ADS,All duplicates,Transcription rate,Bm1,-0.2,-0.10229747351263241,0.0041595389884685
ADS,All duplicates,Transcription rate,Bm1,-0.1,-0.11293235533822328,0.0005283860312567506
ADS,All duplicates,Transcription rate,Bm1,0.0,-0.13591198044009772,1.5169840641574929e-05
ADS,All duplicates,Transcription rate,Bm1,0.1,-0.14530195599022003,1.5324226619502686e-06
ADS,All duplicates,Transcription rate,Bm1,0.2,-0.15821515892420537,9.123634925334301e-08
ADS,All duplicates,Transcription rate,Bm1,0.3,-0.17276854115729412,3.5690978320938407e-09
ADS,All duplicates,Transcription rate,Bm1,0.4,-0.18249511002444985,3.289625608952444e-10
ADS,All duplicates,Transcription rate,Bm1,0.5,-0.1965668296658516,6.45261621912141e-12
ADS,All duplicates,Transcription rate,Bm1,0.6,-0.21320171149144249,8.115730310009896e-14
ADS,All duplicates,Transcription rate,Bm1,0.7,-0.21772819885900563,1.9206858326015208e-14
ADS,All duplicates,Transcription rate,Bm10,-0.4,-0.05430114099429497,0.2677281792684398
ADS,All duplicates,Transcription rate,Bm10,-0.3,-0.04884392828035853,0.37863265698839355
ADS,All duplicates,Transcription rate,Bm10,-0.2,-0.04983618581907087,0.36575959166058164
